name,author,link,rating,rating_count,review_count,pages_count,price,text_reviews,age,year
"1С:Программирование для начинающих. Детям и родителям, менеджерам и руководителям. Разработка в системе «1С:Предприятие 8.3», 2-е стереотипное издание (+ epub)",М. Г. Радченко,https://www.litres.ru/book/m-g-radchenko/1s-programmirovanie-dlya-nachinauschih-detyam-i-roditelyam-m-40932762/,3.92,64,0,781,550.0,[],12,2022
"Искусственный интеллект и компьютерное зрение. Реальные проекты на Python, Keras и TensorFlow (+ epub)",Анирад Коул,https://www.litres.ru/book/anirad-koul/iskusstvennyy-intellekt-i-komputernoe-zrenie-realnye-proekty-n-68677498/,5.0,3,0,608,799.0,[],16,2020
Взломать всё: Как сильные мира сего используют уязвимости систем в своих интересах,Брюс Шнайер,https://www.litres.ru/audiobook/bruce-schneier/vzlomat-vse-kak-silnye-mira-sego-ispolzuut-uyazvimosti-sist-69415144/,4.5,34,0,36605,599.0,[],16,2023
PHP 8,Игорь Симдянов,https://www.litres.ru/book/igor-simdyanov/php-8-69845233/,4.5,2,0,979,599.0,[],0,2023
Сделай видеоигру один и не свихнись,Слава Грис,https://www.litres.ru/book/slava-gris/sdelay-videoigru-odin-i-ne-svihnis-68745309/,4.73,86,0,356600,499.0,[],12,2023
Релевантный поиск с использованием Elasticsearch и Solr,Джон Берримен,https://www.litres.ru/book/dag-tarnbull-1976644/relevantnyy-poisk-s-ispolzovaniem-elasticsearch-i-sol-45670040/,5.0,3,0,20,690.0,[],0,2017
Информатика. 7–9 классы. Компьютерный практикум,Л. Л. Босова,https://www.litres.ru/book/anna-bosova/informatika-7-9-klassy-komputernyy-praktikum-66644798/,4.67,3,0,193,500.0,[],12,2021
Программирование. Принципы и практика использования C++,Бьерн Страуструп,https://www.litres.ru/book/byarne-straustrup/programmirovanie-principy-i-praktika-ispolzovaniya-c-8910007/,4.34,29,0,1223,1200.0,[],0,2009
Java. Справочник разработчика,Дэвид Флэнаган,https://www.litres.ru/book/bendzhamin-dzh-evans/java-spravochnik-razrabotchika-48613806/,4.33,6,0,594,1800.0,[],0,2019
Программирование на VBA в Excel. Самоучитель,Нина Комолова,https://www.litres.ru/book/nina-komolova/programmirovanie-na-vba-v-excel-samouchitel-70980223/,5.0,1,0,512,549.0,[],0,2024
Разберись в Data Science. Как освоить науку о данных и научиться думать как эксперт,Джордан Голдмейер,https://www.litres.ru/book/aleks-dzh-gatman/razberis-v-data-science-kak-osvoit-nauku-o-dannyh-i-nauch-69106330/,4.67,6,0,477457,429.0,[],12,2021
